Etiquetas de fila,3,4,5,7,8,9,10,12,14,15,16,19,21,22,24,27,35,37,40,44,45,46,57,74,83,100,101,103,104,105,119,121,137,155,249,Total general,CONTEO5MAS,ACCIDE5MAS
106,,,,1,,10,,2,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,16,0,0
107,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,0,0
108,1,,,,,29,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,34,1,1
109,,,,2,,11,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,16,0,0
110,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,11,0,0
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,0,0
112,,,,4,,9,,2,,,,,,,,1,,,,1,,1,,,,,,1,,,,,,,,19,0,0
113,,,,7,,30,,6,,,,,,,12,,,,,,2,1,,,,,,1,,,,,,,,59,0,0
114,,,,,1,29,,2,,,,,,,,,,,,1,,2,,,,,,1,,,,,,,,36,0,0
115,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,0,0
116,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,0,0
117,,,,,,11,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12,0,0
118,,,,1,,5,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,8,0,0
119,,,1,3,2,30,1,2,,,,,,,,,,,,,1,2,,2,,,,1,,,,,,,,45,0,0
120,1,,1,1,1,27,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,35,1,1
121,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,0,0
122,,,,7,,31,,4,,,,,,,4,,,,,1,,2,,,,,,1,,,,,,,,50,0,0
123,,,2,1,2,29,,,,,,,,,,,,,,2,,2,,,,,,1,,,,,,,,39,0,0
124,,,,1,2,24,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,29,0,0
125,,,,,,6,,,,,,,,,11,,,,,1,,,,,,,,1,,,,,,,,19,0,0
126,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,0,0
127,,,,,,5,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,8,0,0
128,1,,,1,1,4,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,10,1,1
129,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,0,0
130,1,,,2,,3,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,9,1,1
131,,,1,1,,6,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,0,0
132,,,,2,,8,,1,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,14,0,0
133,,,,2,,11,5,1,,,,,,,,,1,,,1,,,,,,,2,1,,,,,,,,24,0,0
134,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,5,0,0
135,2,,,1,,17,,,,,,,,,,,,15,,,,,,,,,,1,,,,,,3,,39,2,1
136,,,,3,1,4,,1,,,,,,,,1,,,,,2,1,,,,,,1,,,,,,,,14,0,0
137,1,,,2,,9,,,,,,,1,,,,,,,,,2,,,,,,1,,,,,,,,16,1,1
138,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,0,0
139,,,,,1,4,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,9,0,0
140,,,,,,18,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,21,0,0
141,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,0,0
142,1,,1,1,,7,,2,1,,,,,,1,,,,,2,,1,,,,,,1,,,,,,,,18,1,1
143,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,9,0,0
144,,,,3,,11,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,17,0,0
145,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,9,0,0
146,,,,,,31,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,33,0,0
147,,,,2,,6,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,10,0,0
148,,1,,2,1,6,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,12,0,0
149,,,,2,,5,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,9,0,0
150,1,,,1,,4,,,,,,,,,1,,,,,1,,1,,,,,,1,,,,,,,,10,1,1
151,,,,1,,4,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,0,0
152,,,,1,,6,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,9,0,0
153,,,,1,,7,,2,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,13,0,0
